State_Name,Place,Zip_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Samples,Population,City,County
Alaska,Akutan city,99926,343946421,213611590,55.138352000000005,-131.4704235,720,662,283,72,1460,Metlakatla,Prince Wales Ketchikan
Alaska,Hydaburg city,99922,1506300,5839,55.204119999999996,-132.818341,483,486,183,21,384,Hydaburg,Prince Wales Ketchikan
Alaska,Craig city,99921,18654310,6010703,55.488232999999994,-133.111069,1004,980,386,126,1920,Craig,Prince Wales Ketchikan
Alaska,Coffman Cove city,99918,30909225,9766357,56.001751,-132.841933,802,795,40,15,231,Coffman Cove,Prince Wales Ketchikan
Alaska,Akutan city,99901,12523988591,4646176559,55.4499378,-131.10668470000002,1255,1175,493,220,13508,Ketchikan,Ketchikan Gateway
Alaska,Lutak,99840,328819031,16325832,59.412212,-135.589046,0,0,0,0,968,Skagway,Skagway Hoonah Angoon
Alaska,Akutan city,99835,17109651,32661843,57.0451454,-135.3522511,1273,1129,555,117,8880,Sitka,Sitka
Alaska,Petersburg,99833,114295601,3884325,56.754282999999994,-132.873808,931,934,361,382,3202,Petersburg,Wrangell Petersburg
Alaska,Akutan city,99829,16962765542,7798365244,58.0735321,-135.513003,769,725,362,238,777,Hoonah,Skagway Hoonah Angoon
Alaska,Klukwan,99827,3598502,1300463,59.39976600000001,-135.886877,669,736,170,5,2602,Haines,Haines
Alaska,Akutan city,99801,4928827968,522293742,58.43430229999999,-133.88118870000002,1004,994,534,435,29164,Juneau,Juneau
Alaska,Nuiqsut city,99789,24400858,0,70.217102,-150.995545,992,921,414,19,402,Nuiqsut,North Slope
Alaska,Ambler city,99786,23260405,4003440,67.100657,-157.847803,964,812,451,12,259,Ambler,Northwest Arctic
Alaska,White Mountain city,99784,4669851,600451,64.681831,-163.411928,844,776,244,23,190,White Mountain,Nome
Alaska,Wales city,99783,6539062,0,65.614193,-168.081118,536,570,107,9,145,Wales,Nome
Alaska,Akutan city,99780,46851045720,375897419,63.6472192,-142.8271144,837,726,486,108,1535,Tok,Southeast Fairbanks
Alaska,Stevens Village,99774,30141336,4265921,66.023707,-149.080314,625,624,18,1,78,Stevens Village,Yukon Koyukuk
Alaska,Shaktoolik city,99771,2712155,0,64.35904000000001,-161.201019,949,941,394,12,251,Shaktoolik,Nome
Alaska,Northway,99764,48492059,4259715,62.959833999999994,-141.837395,834,471,637,6,290,Northway,Southeast Fairbanks
Alaska,Akutan city,99762,1908739435,562656735,64.6079069,-165.453872,1345,1459,546,90,4038,Nome,Nome
Alaska,Point Lay,99759,73847369,9782126,69.73713199999999,-162.835227,948,958,305,17,189,Point Lay,North Slope
Alaska,Minto,99758,343453559,9229111,65.089635,-149.590211,405,506,150,5,210,Minto,Yukon Koyukuk
Alaska,Manley Hot Springs,99756,141435198,0,65.018757,-150.645281,550,549,31,4,119,Manley Hot Springs,Yukon Koyukuk
Alaska,Koyukuk city,99754,14511943,290257,64.902213,-157.694335,408,453,150,8,96,Koyukuk,Yukon Koyukuk
Alaska,Kobuk city,99751,42007623,1347622,66.924092,-156.90468,945,755,350,7,151,Kobuk,Northwest Arctic
Alaska,Akutan city,99749,91632669709,11015018371,67.0050655,-160.0210864,781,756,347,185,363,Kiana,Northwest Arctic
Alaska,Akutan city,99746,87632823349,1454452360,65.5705181,-155.67365790000002,624,590,231,42,277,Huslia,Yukon Koyukuk
Alaska,Healy,99743,1779228859,525614,63.95963199999999,-148.970842,988,549,642,97,1069,Healy,Denali
Alaska,Gambell city,99742,28230077,50385499,63.777189,-171.72565600000001,721,552,386,28,681,Gambell,Nome
Alaska,Eagle city,99738,2586598,0,64.780117,-141.19332,274,275,54,2,187,Eagle,Southeast Fairbanks
Alaska,Fort Greely,99737,414055961,455424,63.899565,-145.595225,1497,1444,391,95,5011,Delta Junction,Southeast Fairbanks
Alaska,Deering city,99736,13072226,189695,66.069313,-162.76861,944,908,133,10,122,Deering,Northwest Arctic
Alaska,Circle,99733,274634003,1398608,65.838581,-144.17543,558,622,173,15,104,Circle,Yukon Koyukuk
Alaska,Cantwell,99729,303801277,888070,63.411395999999996,-148.749622,1051,1038,446,11,231,Cantwell,Denali
Alaska,Buckland city,99727,3640031,417369,65.975886,-161.138732,738,754,318,44,416,Buckland,Northwest Arctic
Alaska,Coldfoot,99721,92825198,0,67.247451,-150.108051,0,0,0,0,324,Anaktuvuk Pass,North Slope
Alaska,New Allakaket,99720,6350272,978129,66.53860300000001,-152.62129199999998,496,400,187,6,208,Allakaket,Yukon Koyukuk
Alaska,Akutan city,99709,4661153,272144,64.8542939,-147.7832776,885,748,408,286,29830,Fairbanks,Fairbanks North Star
Alaska,Akutan city,99705,127539635,2040600,64.7752542,-147.24846090000003,1904,1870,380,207,22544,North Pole,Fairbanks North Star
Alaska,Akutan city,99701,4544912,92072,64.8328149,-147.7589866,1075,1002,413,720,19019,Fairbanks,Fairbanks North Star
Alaska,Houston city,99694,58020481,3015466,61.61654,-149.771654,927,841,399,143,1512,Houston,Matanuska Susitna
Alaska,Whittier city,99693,31640520,19452662,60.776683,-148.664642,721,679,296,60,248,Whittier,Valdez Cordova
Alaska,Yakutat,99689,260258399,9407358,59.563588,-139.606191,995,944,436,92,662,Yakutat,Yakutat
Alaska,Skwentna,99688,1137452903,17315306,61.888689,-151.199994,0,0,0,0,2759,Willow,Matanuska Susitna
Alaska,Valdez city,99686,560049633,154468473,61.083620999999994,-146.317179,1189,1160,455,375,4005,Valdez,Valdez Cordova
Alaska,Unalakleet city,99684,9411703,6659734,63.895578,-160.798136,1006,957,330,57,688,Unalakleet,Nome
Alaska,Tuntutuliak,99680,300247584,628070,60.385009,-162.684337,448,443,153,19,408,Tuntutuliak,Bethel
Alaska,Akutan city,99677,11061417352,8935051233,60.6553471,-147.4091896,1268,1241,273,199,88,Tatitlek,Valdez Cordova
Alaska,Chase,99676,437290633,1617510,62.418236,-149.936172,0,0,0,0,1546,Talkeetna,Matanuska Susitna
Alaska,Glacier View,99674,601172964,5726527,61.847988,-147.772593,610,652,77,7,1444,Sutton,Matanuska Susitna
Alaska,Akutan city,99672,5013807116,446120951,60.2648699,-150.61056230000003,1034,997,464,375,3704,Sterling,Kenai Peninsula
Alaska,Stebbins city,99671,94202974,4098043,63.434606,-162.27766599999998,723,610,386,33,556,Stebbins,Nome
Alaska,Kalifornsky,99669,178364814,2303535,60.453398,-151.220304,1215,1152,506,633,14191,Soldotna,Kenai Peninsula
Alaska,Bear Creek,99664,98961714,3285324,60.208059999999996,-149.369779,893,890,156,104,4932,Seward,Kenai Peninsula
Alaska,Seldovia Village,99663,46974448,2872280,59.46126999999999,-151.588755,375,374,18,4,414,Seldovia,Kenai Peninsula
Alaska,Scammon Bay city,99662,1617260,0,61.842624,-165.58326599999998,475,462,58,5,480,Scammon Bay,Wade Hampton
Alaska,Sand Point city,99661,19830957,55786027,55.313385,-160.48361699999998,1012,971,369,133,978,Sand Point,Aleutians East
Alaska,St. Paul city,99660,104411890,660837303,57.179041000000005,-170.325068,994,946,697,54,479,Saint Paul Island,Aleutians West
Alaska,Akutan city,99658,44240303738,6712008759,62.2830603,-163.1909034,756,617,409,43,616,Saint Marys,Wade Hampton
Alaska,Lakes,99654,32543275,3671759,61.60521800000001,-149.311468,1214,1069,607,623,52168,Wasilla,Matanuska Susitna
Alaska,Port Alsworth,99653,58649607,161468,60.157849,-154.340609,798,706,408,24,159,Port Alsworth,Lake And Peninsula
Alaska,Big Lake,99652,300938153,32604909,61.529768000000004,-149.98091599999998,1142,1092,448,197,3703,Big Lake,Matanuska Susitna
Alaska,Pilot Station city,99650,4382285,1472334,61.94662099999999,-162.878319,408,374,168,3,568,Pilot Station,Wade Hampton
Alaska,Pedro Bay,99647,44171617,5834641,59.782161,-154.107931,520,386,225,3,44,Pedro Bay,Lake And Peninsula
Alaska,Tanaina,99645,78683364,1255262,61.657242000000004,-149.427747,1368,1293,425,633,25176,Palmer,Matanuska Susitna
Alaska,Ouzinkie city,99644,14388748,4649786,57.924923,-152.463876,777,739,302,10,175,Ouzinkie,Kodiak Island
Alaska,Nunapitchuk city,99641,19310289,2588637,60.882466,-162.463637,516,492,138,11,496,Nunapitchuk,Bethel
Alaska,Nondalton city,99640,21268094,1509270,59.97655699999999,-154.863921,563,417,266,13,174,Nondalton,Lake And Peninsula
Alaska,Ninilchik,99639,536763053,73420,60.06170899999999,-151.406462,768,735,266,72,1131,Ninilchik,Kenai Peninsula
Alaska,Napakiak city,99634,11419091,1595548,60.682928000000004,-161.998779,634,462,506,16,354,Napakiak,Bethel
Alaska,Akutan city,99631,4422858736,257016265,60.6153549,-149.3727833,968,882,234,52,228,Moose Pass,Kenai Peninsula
Alaska,Levelock,99625,43319638,0,59.068245999999995,-156.901021,765,665,177,6,72,Levelock,Lake And Peninsula
Alaska,Akutan city,99624,16864705570,14145351190,57.5020153,-153.5635123,1776,1754,313,57,90,Larsen Bay,Kodiak Island
Alaska,Kwigillingok,99622,61487848,226610,59.874233999999994,-163.20554099999998,0,0,0,0,321,Kwigillingok,Bethel
Alaska,Kotlik city,99620,9785486,1878906,63.02878199999999,-163.535752,590,530,303,29,577,Kotlik,Wade Hampton
Alaska,Kipnuk,99614,51776428,821794,59.936452,-164.061751,485,524,168,5,639,Kipnuk,Bethel
Alaska,Kenai city,99611,74051354,17665913,60.562274,-151.207971,963,911,423,1199,15122,Kenai,Kenai Peninsula
Alaska,Kokhanok,99606,53939242,304137,59.412874,-154.74666100000002,736,709,205,5,469,Iliamna,Lake And Peninsula
Alaska,Diamond Ridge,99603,109714500,11765,59.708305,-151.545283,975,884,403,69,9840,Homer,Kenai Peninsula
Alaska,St. George city,99591,90002615,382165049,56.592794,-169.624378,813,690,195,5,102,Saint George Island,Aleutians West
Alaska,Tazlina,99588,21291538,2206764,62.058349,-145.464375,705,711,346,24,980,Glennallen,Valdez Cordova
Alaska,Akutan city,99587,1404917227,154085085,60.9724621,-149.0849841,963,778,484,196,2250,Girdwood,Anchorage
Alaska,Chistochina,99586,954239781,935194,62.59644399999999,-144.941045,980,324,1123,7,605,Gakona,Valdez Cordova
Alaska,False Pass city,99583,69890025,106542449,54.872441,-163.33426799999998,788,764,229,7,35,False Pass,Aleutians East
Alaska,Emmonak city,99581,19874051,3841424,62.785182999999996,-164.566301,652,552,238,26,762,Emmonak,Wade Hampton
Alaska,Ekwok city,99580,42147706,3220884,59.345664,-157.488006,1147,1143,78,1,115,Ekwok,Dillingham
Alaska,Akutan city,99579,60735993529,24532276414,58.2050652,-156.7051884,814,716,257,104,109,Egegik,Lake And Peninsula
Alaska,Akutan city,99577,9185110,0,61.3286309,-149.53799740000002,1317,1168,571,578,25771,Eagle River,Anchorage
Alaska,Akutan city,99576,409651993,7194810,58.9684384,-158.6734216,1202,1168,388,118,2603,Dillingham,Dillingham
Alaska,Chenega,99574,75848952,716582,60.091902000000005,-147.99469299999998,596,652,122,7,2348,Cordova,Valdez Cordova
Alaska,Akutan city,99573,63955230470,1214891934,62.034479000000005,-143.9221674,814,780,516,55,1115,Copper Center,Valdez Cordova
Alaska,Akutan city,99567,168793575,15079525,61.3488245,-149.3997957,0,0,0,0,9211,Chugiak,Anchorage
Alaska,Bethel city,99559,111843906,14303368,60.792998,-161.793477,1369,1358,584,920,7632,Bethel,Bethel
Alaska,Aniak city,99557,16630342,6166529,61.578035,-159.528754,1022,1086,394,55,726,Aniak,Bethel
Alaska,Akutan city,99556,1502551013,1396368032,59.8999551,-151.5703879,805,825,316,91,2510,Anchor Point,Kenai Peninsula
Alaska,Alakanuk city,99554,76485032,26008972,62.71116,-164.644712,559,455,271,14,677,Alakanuk,Wade Hampton
Alaska,Akiachak,99551,19519976,21925,60.916162,-161.404695,626,731,288,15,627,Akiachak,Bethel
Alaska,Port Heiden city,99549,131132686,1002867,56.964177,-158.580635,947,913,317,8,102,Port Heiden,Lake And Peninsula
Alaska,Chignik Lake,99548,31738900,27333732,56.27196899999999,-158.789108,675,674,18,4,73,Chignik Lake,Lake And Peninsula
Alaska,Atka city,99547,22636758,70924741,52.213091,-174.215643,796,729,174,9,61,Atka,Aleutians West
Alaska,Attu Station,99546,369172641,2796905,52.880247999999995,173.256076,0,0,0,0,326,Adak,Aleutians West
Alaska,Akutan city,99518,4577740,0,61.1593799,-149.8999659,1493,1469,252,189,10225,Anchorage,Anchorage
Alaska,Akutan city,99517,1612672,0,61.18794820000001,-149.92269850000002,1133,1113,469,955,16645,Anchorage,Anchorage
Alaska,Akutan city,99516,3601953,0,61.1015721,-149.8226304,1331,995,694,83,20095,Anchorage,Anchorage
Alaska,Akutan city,99515,7416313,22755652,61.122781,-149.9633763,754,879,1016,100,22441,Anchorage,Anchorage
Alaska,Akutan city,99508,2494426,0,61.2167015,-149.7927444,1102,1034,443,1053,35857,Anchorage,Anchorage
Alaska,Akutan city,99507,1978662,0,61.130389,-149.84536640000002,1548,1535,323,406,37850,Anchorage,Anchorage
Alaska,Akutan city,99504,1979230,0,61.217081799999995,-149.7672141,1248,1204,363,267,40914,Anchorage,Anchorage
